Piazzata,Chiuse,Dettagli,Tipo,Quota,Puntata (€),Responsabilità (€),Profitto/Perdita,Stato
08-feb-26 11:21:23,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417770730132 | ID Scommessa AdM bc000000003fbfb9c909,Punta,1.62,"4,50", -- ," -4,50 ",Persa
08-feb-26 11:29:24,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417771279249 | ID Scommessa AdM bc000000002322d7560a,Punta,1.64,"3,00", -- ," -3,00 ",Persa
08-feb-26 11:30:24,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417771350682 | ID Scommessa AdM bc0000000061f3a19b08,Punta,1.72,"5,00", -- ," -5,00 ",Persa
08-feb-26 11:31:24,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417771427588 | ID Scommessa AdM bc000000003fc00aac09,Punta,1.73,"4,00", -- ," -4,00 ",Persa
08-feb-26 11:33:24,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417771599471 | ID Scommessa AdM bc000000003fc0227209,Punta,1.68,"3,00", -- ," -3,00 ",Persa
08-feb-26 11:35:23,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417771767553 | ID Scommessa AdM bc0000000061f3d9e608,Punta,1.61,"3,00", -- ," -3,00 ",Persa
08-feb-26 11:37:24,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417771958380 | ID Scommessa AdM bc0000000061f3f08108,Punta,1.74,"5,00", -- ," -5,00 ",Persa
08-feb-26 11:39:23,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417772135385 | ID Scommessa AdM bc0000000061f4026d08,Punta,1.77,"3,50", -- ," -3,50 ",Persa
08-feb-26 11:40:23,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417772223013 | ID Scommessa AdM bc00000000232348a20a,Punta,1.72,"5,00", -- ," -5,00 ",Persa
08-feb-26 11:41:24,08-feb-26 14:05:07,L Samsonova - Frech L Samsonova-Esito Finale | ID scommessa Betfair 1:417772311238 | ID Scommessa AdM bc000000003fc0734b09,Punta,1.78,"3,00", -- ," -3,00 ",Persa
