Piazzata,Chiuse,Dettagli,Tipo,Quota,Puntata (€),Responsabilità (€),Profitto/Perdita,Stato
12-feb-26 23:02:23,13-feb-26 01:04:45,"Athletico-PR - Santos Under 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418277344182 | ID Scommessa AdM bc0000000040a6f64409",Punta,1.29,"3,00", -- ," 0,87 ",Vinta
13-feb-26 00:32:15,13-feb-26 00:56:32,"Once Caldas - Junior FC Barranquilla Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418282066262 | ID Scommessa AdM bc00000000240c3d2a0a",Punta,1.39,"5,00", -- ," 1,95 ",Vinta
12-feb-26 23:00:38,13-feb-26 00:55:24,Tigre - Aldosivi Tigre-Esito Finale | ID scommessa Betfair 1:418277241721 | ID Scommessa AdM bc0000000062da8de508,Punta,1.77,"12,50", -- ," 9,63 ",Vinta
13-feb-26 00:15:54,13-feb-26 00:48:48,"Lobos UPNFM - CD Victoria Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418281124987 | ID Scommessa AdM bc0000000062dc774108",Punta,1.78,"9,00", -- ," -9,00 ",Persa
12-feb-26 22:55:26,13-feb-26 00:00:54,"Herrera FC - Union Cocle Under 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418277026162 | ID Scommessa AdM bc0000000040a6ca7509",Punta,1.39,"11,00", -- ," 4,28 ",Vinta
12-feb-26 23:12:23,12-feb-26 23:50:25,"Chico - Jaguares de Cordoba Under 4,5 goal-Over/Under 4,5 gol | ID scommessa Betfair 1:418277872631 | ID Scommessa AdM bc0000000040a7365709",Punta,1.56,"9,00", -- ," -9,00 ",Persa
12-feb-26 23:00:22,12-feb-26 23:48:24,"Club Sport Sebaco - Rancho Santana Under 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418277228832 | ID Scommessa AdM bc000000002409d5aa0a",Punta,1.73,"13,00", -- ," -13,00 ",Persa
12-feb-26 22:24:18,12-feb-26 23:03:01,Atletico Madrid - Barcellona Barcellona-Esito Finale | ID scommessa Betfair 1:418275197960 | ID Scommessa AdM bc0000000062d975d408,Punta,100.00,"5,00", -- ," -5,00 ",Persa
12-feb-26 21:12:28,12-feb-26 23:00:36,"Retro FC Brasil - Sport Recife Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418268477479 | ID Scommessa AdM bc0000000062d61bf708",Punta,1.55,"4,00", -- ," -4,00 ",Persa
12-feb-26 22:34:36,12-feb-26 22:55:30,"Brentford - Arsenal Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418275872002 | ID Scommessa AdM bc0000000062d9d20d08",Punta,1.91,"5,50", -- ," -5,50 ",Persa
